customer_id,customer_name,city,state,registration_date
CUST00424,Mary Escobar,Barkerberg,Kansas,2020-04-12
CUST00549,Jessica Khan,Port Jacob,Nebraska,2018-03-06
CUST00732,Alexander Gomez,Lisatown,Delaware,2024-08-29
CUST00589,Dale Ryan,Stephenstown,Hawaii,2024-07-27
CUST00486,Jonathan Glass MD,New Dawnton,California,2022-08-12
CUST00617,Bryan Parker,Gutierrezmouth,New York,2024-03-31
CUST00992,Brian Harris,Lake James,UTAH,2020-06-11
CUST00994,Deborah Campbell,Lake Coreyborough,Oregon,2020-05-17
CUST00983,Joshua Garcia,Port Donnashire,TX,2021-09-02
CUST00924,Amanda Sullivan MD,West Angelbury,Louisiana,2018-05-13
CUST01050,,Bradleychester,Idaho,2023-05-11
CUST00582,Daniel Bush,Port Georgemouth,KENTUCKY,2023-07-03
CUST00635,Amber Cooper,Lopezville,Connecticut,2018-12-13
CUST00159,Melissa Gates,North Eric,Alabama,2022-07-19
CUST00366,Kenneth Lewis,Deniseview,TX,2024-04-22
CUST00449,Ryan Rosales,North Todd,Minnesota,2020-11-20
CUST00334,Linda Smith,Brayhaven,Georgia,2019-08-10
CUST00496,Lawrence Harrington,East Ryanfurt,Tennessee,2020-01-05
CUST00913,Robert Haynes,Lake Loganstad,South Carolina,2024-02-03
CUST00894,Cassie Brock,East Joshuaberg,Washington,2024-05-04
CUST00057,Timothy Duncan,New Virginiaville,New Jersey,2021-05-04
CUST00071,Jordan Henderson,Jimmytown,Ohio,2022-06-05
CUST00486,Jonathan Glass MD,New Dawnton,California,2022-08-12
CUST00389,Sandra Drake,Lake Sandrafort,New Hampshire,2018-10-26
CUST00529,Kristy Bryan,North Johnhaven,Massachusetts,2023-08-10
CUST00988,Nicholas Payne,North Dustinview,,2022-01-07
CUST00838,Carol Sanders,North Joyside,Tennessee,2021-11-26
CUST00372,,North Sharonfort,New Mexico,2022-05-10
CUST01031,Douglas Vasquez,South Shannonfurt,Ohio,2020-08-17
CUST00761,Mary Kelly,New Daltonmouth,FL,2019-09-10
CUST00657,Eric Thomas,East Amyside,Arizona,2022-01-19
CUST00680,William Harrison,Amandafurt,Vermont,2021-08-06
CUST00052,Danny Morgan,Karenburgh,Oklahoma,2020-10-06
CUST00278,Marie Christian,Cherylfurt,Michigan,2021-11-25
CUST00175,Nicole Herring,West Willie,FL,2023-01-04
CUST00618,Jonathan Jacobson,Annborough,Massachusetts,2024-03-22
CUST00762,Amanda Terrell,Jeffreyport,MARYLAND,2021-11-13
